,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,Notes
205,105124,SUPRONIL BLACK LD-5915,STAHL Germany,O,-,-,80,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
206,104962,RODA LEVELLER B-LM,TFL,O,COMPOUND,add on FISS water,85,120, -   ,-, 720 , 105 , 78 , 90 , 74 , 116 , 10.58 ,4.8, 10.58 , -   , -   ,,, 78 , 69 ,756 ,747 ,
207,104902,SAMIACEL MACCHIA 3338,SAMIA,O,-,-,70,50, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
208,105534,SAMIACEL MACCHIA 3338 ET,SAMIA,O,COMPOUND,KELA,70,50, 500 ,NaT::500.0, 400 , 144 , 259 , 192 , 244 , 202 , 2.10 ,4.3, 4.03 , 78 , 1.6 ,,, 259 , 230 ,314 ,285 ,
209,104882,SMITFIX RL 9492,SMIT FINISHING,O,-,MALDONADO  LUX,85,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
210,104497,RODA WAX KCF 638,-,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
211,104946,RODA KCF 684,TFL LEDERTECHNIK GMBH,O,COMPOUND,"KARMA/TUNDRA, THUNDER",85,120, -   ,-, -   , 217 , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,217 ,217 ,
212,105402,ICALAC SB1 MATT,ICAP,O,-,"FISS Ellington, BENFICA, CARUSO,VISEU",83,23, -   ,-," 1,679 ", 83 , -   , 69 , 82 , 32 , 21.49 ,4.8, 21.49 , -   , -   ,,, -   , -   ,"1,762 ","1,762 ",
213,104572,ICALAC SB 215,ICAP,O,COMPOUND,"FISS Ellington, BENFICA, CARUSO,VISEU",83,110, -   ,-," 3,630 ", 67 , 377 , 304 , 331 , 98 , 9.81 ,4.8, 9.81 , -   , -   ,,, 377 , 189 ,"3,508 ","3,320 ",
214,105084,GEALUX QT,Getti Brazil ,O,COMPOUND,"TATO Milling  Ellington, BENFICA, CARUSO",68,120, -   ,-," 1,100 ", 74 , 75 , 60 , 61 , 30 , 15.65 ,4.3, 15.65 , -   , -   ,,, 75 , 18 ,"1,156 ","1,099 ",
215,104842,RODA CARE NC,-,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
216,104846,RODA FEEL N 4,TFL,O,COMPOUND,"Fiss Baltimora, Tatto Milling ",85,60," 3,180 ",2023-03-28::1200.0|||2023-05-10::1080.0|||2023-05-10::300.0|||NaT::600.0, -   , -   , 767 , 584 , 665 ," 1,020 ", -   ,4.8, 4.15 , 537 , 8.9 ,,, 767 , 404 ,(404),(767),
217,104847,RODA FEEL S 2081,TFL,O,COMPOUND, FISS water & nitro (1 s? article),85,25, -   ,-, 375 , 95 , 27 , 33 , 20 , 21 , 17.41 ,4.8, 17.41 , -   , -   ,,, 27 , -   ,470 ,443 ,
218,100047, Rosilk 2229 Feel Modifier,TFL Brazil,O,-,backup for RODA FEEL S 2081,85,25, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
219,104852,RU 74-987,STAHL Singapore,O,-,-,80,110, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
220,104870,WT-48-459,-,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
221,104900,NOVA EXP 2052/NF,-,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
222,104905,FOAM A 10,-,O,-,-,0,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
223,104911,ISOLAC FINISH 2081,-,O,-,-,0,50, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
224,105020,BASEMASK 5755/T2,SMIT FINISHING S.P.A,O,-,ch?y BASEMASK,70,40," 1,920 ",2023-04-13::1920.0," 1,120 ", 400 , -   , 500 , 586 , 860 , 2.59 ,4.3, 5.87 , -   , -   ,,, -   , -   ,"1,520 ","1,520 ",
225,105027,RODA TEC AW,TFL,O,COMPOUND,"Fiss Baltimora (art ALINE K TT, BALI….)",85,120, -   ,-," 3,240 ", 290 , 951 , 844 , 814 ," 1,385 ", 3.71 ,4.8, 3.71 ," 1,046 ", 8.7 ,,, 951 , 537 ,"2,993 ","2,579 ",
226,105025,RODA BASE AF-B,TFL,O,-,"RIM HERCULES,FON CAPRI",85,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
227,105559,RODA BASE AF-B/N,TFL,O,COMPOUND,"RIM  AJAX TT,HERCULES,FON CAPRI",85,120, -   ,-," 1,560 ", 117 , 142 , 120 , 71 , 3 , 11.81 ,4.8, 11.81 , -   , -   ,,, 142 , -   ,"1,677 ","1,535 ",
228,105026,RODA FIX 6271/C,TFL,O,-,-,85,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
229,101261,EUDERM NAPPA SOFT S2-A,TFL Italy,O,COMPOUND,"Bowie/Viseu / Ellington lux TT & K TT,MALTESSE, VENEZA LUX",85,115, -   ,-," 4,505 ", 629 ," 1,174 ", 561 , 566 , 334 , 4.37 ,4.8, 4.37 , 470 , 4.1 ,,," 1,174 ", 848 ,"4,286 ","3,960 ",
230,100041,PRIMAL SB-100,LANXESS,O,-,"Bowie / Ellington lux TT & K TT,TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
231,105614,PRIMAL LH-100,LANXESS,O,-,"Bowie / Ellington lux TT & K TT,TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
232,105655,PRIMAL LH 500 ,TFL Brazil,O,COMPOUND,"Bowie/Viseu / Ellington lux TT & K TT,MALTESSE, VENEZA LUX",85,120, -   ,-," 13,000 ", 500 ," 2,674 "," 1,289 "," 1,287 ", 759 , 5.05 ,4.8, 5.05 , -   , -   ,,," 2,674 "," 1,931 ","11,569 ","10,826 ",
233,104221,PRIMAL SB-150,LANXESS,O,-,"PRE HERCULES,Bowie / Ellington lux TT & K TT, TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
234,105615,PRIMAL LH-150,LANXESS,O,-,"Bowie / Ellington lux TT & K TT, TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
235,105656,PRIMAL LH 550,TFL Brazil,O,COMPOUND,"PRE HERCULES, AJAX TT,Bowie/Viseu / Ellington lux TT & K TT, TAB,MALTESSE, GOBIEW, VENEZA LUX",85,120, -   ,-," 10,000 ", 994 ," 1,393 ", 743 , 671 , 942 , 7.89 ,4.8, 7.89 , -   , -   ,,," 1,393 ", 989 ,"10,005 ","9,601 ",
236,105008,BINDER M-RI 99,GSC GROUP S.P.A,O,COMPOUND,"RIM (white color), EF HERCULES,  AJAX TT, EFF BONO TT TIP,TORONTO TAB)",70,120," 3,840 ",2023-04-10::3840.0," 4,000 "," 1,038 "," 1,419 "," 1,378 "," 1,166 "," 1,123 ", 3.55 ,4.3, 6.26 , -   , -   ,,," 1,419 ", 183 ,"4,855 ","3,619 ",
237,104959,EX-LS-64-468,STAHL Singapore,O,COMPOUND,BUY MORE 225,25,25, 100 ,NaT::100.0, -   , -   , -   , 127 , 173 , 166 , -   ,2.8, 0.58 , -   , -   ,,, -   , -   ,0 ,0 ,
238,104706,AQUABASE HF LIQ,STAHL Germany,O,-,-,80,90, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
239,105127,BIOTHANE UW 6522,ORCHID CHEM (NG?C LAN),D,-,Tipshine,14,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.5,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
240,105167,Aquabase HP ,Stahl ,O,-,"STUCCO BY GEMATA=> xài h?t không mua n?a, chuy?n qua xài RODA CARE 5754",70,75, -   ,-, -   , -   , -   ," 1,691 ", 7 , -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
241,105658,AQUABASE UPH,Stahl ,O,-,STUCCO BY GEMATA=> check stock RODA CARE 5754 và check l?i v?i Technician ??i qua AQUABASE UPH (n?u ??i thì báo Singapore tr??c 3 tháng ?? keep stock và mua t?i Singapore),70,75, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
242,104910,RODA CARE 5754,TFL,O,-,STUCCO BY GEMATA=> check stock và check l?i v?i Technician ??i qua AQUABASE UPH (n?u ??i thì báo Singapore tr??c 3 tháng ?? keep stock và mua t?i Singapore),85,70," 1,750 ",NaT::1750.0," 15,500 "," 1,420 ", -   ," 2,455 "," 4,410 "," 3,824 ", 3.84 ,4.8, 4.23 , -   , -   ,,, -   , -   ,"16,920 ","16,920 ",
243,105218,FOUNDER ROLLER 2515 ,SAMIA,O,-,-,80,40, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
244,105126,ANTIFOAM NS-165,Vina Hào D??ng,D,COMPOUND,"add on FISS water, Basemask 5755",14,25, -   ,-, -   , 84 , 3 , 7 , 6 , 3 , 14.00 ,2.5, 14.00 , -   , -   ,,, 3 , -   ,84 ,81 ,
245,105173,SMITFIX G 9631,SMIT FINISHING S.P.A,O,COMPOUND,"Tên article có TIP : ROSSINI TT TIP,BRAZOS,SAPPA,PASKOA, BY CAST TIP,TORONTO TIP, ROCKPOINT TIP,EMO TIP,TSING,XANTUM",70,120, -   ,-," 14,880 ", 449 , 174 , 193 , 117 , 86 , 88.10 ,4.3, 88.10 , -   , -   ,,, 174 , -   ,"15,329 ","15,155 ",
246,105175,SMITFIX G 9633,SMIT FINISHING S.P.A,O,COMPOUND,"Tên Article có TIP,  TIPSHINE BY HAND & MILLIPUNTE",70,120, -   ,-," 8,520 ", 50 , 81 , 78 , 30 , 38 , 105.80 ,4.3, 105.80 , -   , -   ,,, 81 , 8 ,"8,562 ","8,489 ",
247,105600,EX-WT-35-703,STAHL Germany,O,COMPOUND,FISS ANKUR K TT,83,120, 120 ,NaT::120.0, 720 , 71 , 33 , 57 , 97 , 109 , 23.97 ,4.8, 27.61 , -   , -   ,,, 33 , -   ,791 ,758 ,
248,105080,RODA CARE HB,TFL,O,COMPOUND,PRE HERCULES,85,100, -   ,-, -   , -   , 100 , -   ,, -   , -   ,4.8, -   , 480 , 4.8 ,,, 100 , -   ,0 ,(100),
249,105516,RODA CARE HB-B,TFL,O,-,"PRE HERCULES, AJAX TT",85,100, -   ,-," 2,100 ", 16 , -   , 129 , 80 , 38 , 26.45 ,4.8, 26.45 , -   , -   ,,, -   , -   ,"2,116 ","2,116 ",
250,105255,MA-22-617,STAHL Spain,O,COMPOUND,"EF HERCULES, AJAX TT",71,25, -   ,-, 750 , 39 , 5 , 8 , 7 , 3 , 112.71 ,4.4, 112.71 , -   , -   ,,, 5 , -   ,789 ,784 ,
251,105393,RODA FEEL KTA 950,TFL,O,COMPOUND,"FIS HERCULES, AJAX TT, FLESH SIDE , Tatto Milling",85,25, -   ,-, 800 , 92 , 255 , 91 , 98 , 123 , 3.50 ,4.8, 3.50 , 331 , 13.3 ,,, 255 , 182 ,710 ,637 ,
252,105012,RODA FEEL KTA 950 BR ,TFL,O,-,"FIS HERCULES, KELA FLESH SIDE BONO TT TIP",85,30, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
253,105203,RODA FIX 6306,TFL Brazil,O,COMPOUND,"FIS HERCULES, AJAX TT",85,200, -   ,-," 1,800 ", 125 , 55 , 99 , 86 , -   , 35.00 ,4.8, 35.00 , -   , -   ,,, 55 , -   ,"1,925 ","1,870 ",
254,105059,RODA FEEL S 2075-BR,TFL,O,COMPOUND,"ch?t này gi?ng RODA FEEL S 2075 , MILLING HERCULES, AJAX TT",85,10, -   ,-, 40 , -   , 4 , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, 4 , -   ,40 ,36 ,
255,104949,RODA BASE RECO 3,TFL,O,COMPOUND,"PRE-CAPRI, ANKUR K TT",85,120, -   ,-, 480 , 87 , 44 , 30 , 33 , -   , 12.89 ,4.8, 12.89 , -   , -   ,,, 44 , -   ,567 ,523 ,
256,105349,RODA FEEL S 2075,TFL,O,-,"ch?t này gi?ng RODA FEEL S 2075-BR , MILLING HERCULES, AJAX TT",85,120, 100 ,2023-05-10::75.0|||NaT::25.0, 50 , 18 , -   , 1 , 1 , -   , 68.00 ,4.8, 168.00 , -   , -   ,,, -   , -   ,68 ,68 ,
257,104951,SMITFIX RL 9549,SMIT FINISHING S.P.A,O,-,July08-Alan:Place an order for 360kg 9549 ASAP-cancel,83,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
258,105492,SELLA DERM YELLOW M2,TFL,O,COMPOUND,"pigment SIENA, EF WATER",85,25, -   ,-, 50 , 13 , 2 , 9 , 7 , 11 , 9.00 ,4.8, 9.00 , -   , -   ,,, 2 , 1 ,62 ,61 ,
259,104978,DARKWAX 6G,GSC,O,COMPOUND,THUNDER,70,120, -   ,-, 240 , 120 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,360 ,360 ,
260,105158,FYL WAX 6G,GSC,O,-,THUNDER,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
261,105547,SELLA DERM LIGHT BLUE M2,TFL Italy,O,COMPOUND,pigment SIENA,85,25, -   ,-, 25 , 6 , -   , 1 , -   , 1 ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,31 ,31 ,
262,105548,SELLA DERM FUCSIA M2,TFL Italy,O,COMPOUND,pigment SIENA,85,25, -   ,-, -   , 9 , -   , 1 , 1 , 1 , 9.00 ,4.8, 9.00 , -   , -   ,,, -   , -   ,9 ,9 ,
263,105549,SELLA DERM ARANCIO M2,TFL Italy,O,COMPOUND,pigment SIENA ( không mua n?a khi nào h?t s? xài DHL ORANGE),85,25, 25 ,NaT::25.0, -   , 1 , -   , 3 , 3 , 2 , 0.33 ,4.8, 8.67 , -   , -   ,,, -   , -   ,1 ,1 ,
264,105409,RODA GROUND RECO 5,TFL Italy,O,COMPOUND,SIENA,85,120, -   ,-," 13,440 ", 80 , 33 , 110 , 37 , 96 , 409.70 ,4.8, 409.70 , -   , -   ,,, 33 , -   ,"13,520 ","13,487 ",
265,105545,RODA WAX 4092,TFL Italy,O,COMPOUND,SIENA,85,110, -   ,-," 2,750 ", 40 , 11 , 34 , 9 , 26 , 253.64 ,4.8, 253.64 , -   , -   ,,, 11 , -   ,"2,790 ","2,779 ",
266,105369,RODA PUR ADX,TFL Italy,O,COMPOUND,SIENA,85,120, -   ,-," 2,640 ", 172 , 8 , 25 , 9 , 21 , 312.44 ,4.8, 312.44 , -   , -   ,,, 8 , -   ,"2,812 ","2,804 ",
267,104944,RODA OIL KCF 673,TFL Italy,O,COMPOUND,SIENA,85,110, -   ,-," 4,510 ", 135 , 75 , 87 , 28 , 35 , 61.93 ,4.8, 61.93 , -   , -   ,,, 75 , -   ,"4,645 ","4,570 ",
268,105063,FI 18988,STAHL,O,-,SIENA,70,25, -   ,-, -   , 15 , -   , 1 , 3 , -   , 5.00 ,4.3, 5.00 , -   , -   ,,, -   , -   ,15 ,15 ,
269,105560,RODA FIX 5792/N2,TFL Italy,O,-,-,85,120, -   ,-, 120 , 78 , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,198 ,198 ,
270,105621,RODA WAX KCF 604/N,TFL Italy,O,COMPOUND,SIENA,85,120, 240 ,2023-05-10::240.0," 2,880 ", -   , 77 , 266 , 89 , 206 , 37.40 ,4.8, 40.52 , -   , -   ,,, 77 , -   ,"2,880 ","2,803 ",
271,105626,NNXC R-16L,,O,-,sample-Shippiment Brazil to JBS Vietnan,83,30, -   ,-," 1,060 ", -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,"1,060 ","1,060 ",
272,105685,PRIMEX 2293,GSC,O,-,sample-Chemicals for Chamois and Maestro ,70,5, -   ,-, 5 , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,5 ,5 ,
273,105193,ADDITIVE LIV 2455/2,GSC,O,-,sample-Chemicals for Chamois and Maestro ,83,5, -   ,-, 5 , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,5 ,5 ,
274,105684,FYL WAX 2500,GSC,O,-,sample-Chemicals for Chamois and Maestro ,83,10, -   ,-, 10 , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,10 ,10 ,
275,105682,FYL WAX 69,GSC,O,-,sample-Chemicals for Chamois and Maestro ,83,50, -   ,-, 120 , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,120 ,120 ,
276,105638,PEVIT XVS 5491,GSC,O,-,Chemicals for Chamois and Maestro ,83,1, -   ,-, -   , -   , -   , -   ,,,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
277,104930,RODA PUR WX,TFL,O,-,sample-Chemicals for Chamois and Maestro ,85,1, -   ,-, -   , 66 , -   , 2 , 4 , -   , 16.50 ,4.8, 16.50 , -   , -   ,,, -   , -   ,66 ,66 ,
278,,ISOLAC FUCSIA LP,GSC,O,-,Chemicals for Chamois and Maestro ,83,1, -   ,-, -   , -   , -   , -   ,,,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
279,105612,SHADE FUXIA/EJ,GSC,O,-,-,83,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
280,104948,RODA WAX 6311,TFL Brazil,O,-,-,85,120, 240 ,2023-04-20::240.0, -   , 20 , -   , 16 , 4 , 14 , 5.00 ,4.8, 65.00 , -   , -   ,,, -   , -   ,20 ,20 ,
281,105079,RODA CARE CE/N2,TFL Italy,O,-,-,85,80," 1,200 ",2023-05-10::1200.0, -   , -   , -   , -   ,, 80 ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
